Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,force.x,force.y,force.z,orientation.x,orientation.y,orientation.z,orientation.w,angular_velocity.x,angular_velocity.y,angular_velocity.z,aux.current_yaw,aux.kf_correction,aux.angle_corrections,aux.enable_motors,aux.use_external_yaw,kR_0,kR_1,kR_2,kOm_0,kOm_1,kOm_2
1642435580.0755498,11833,1642435580,72798188,mocap,0.2608371078968048,-0.002686590189114213,2.331958532333374,-0.002549731871113181,0.055610835552215576,-0.05600054934620857,0.9968775510787964,0.20416873693466187,0.0049055954441428185,5.58382598683238e-05,-0.14544855058193207,0.0,"(0.0, 0.0)",True,False,1.5,1.5,1.0,0.12999999523162842,0.12999999523162842,0.10000000149011612
1642435580.0854201,11834,1642435580,82861990,mocap,0.24069125950336456,-0.016698535531759262,2.3175902366638184,0.0006713749025948346,0.05183745175600052,-0.056210149079561234,0.997072160243988,0.22011341154575348,-0.01907135173678398,-8.606941992184147e-05,-0.14539147913455963,0.0,"(0.0, 0.0)",True,False,1.5,1.5,1.0,0.12999999523162842,0.12999999523162842,0.10000000149011612
1642435580.0961134,11835,1642435580,93102302,mocap,0.25193464756011963,1.4471530448645353e-05,2.3433101177215576,-0.0030048717744648457,0.05344044417142868,-0.056001994758844376,0.9969949126243591,0.1881101280450821,-0.010816894471645355,-0.00013030307309236377,-0.14621180295944214,0.0,"(0.0, 0.0)",True,False,1.5,1.5,1.0,0.12999999523162842,0.12999999523162842,0.10000000149011612
1642435580.1067555,11836,1642435580,101990011,mocap,0.2511817514896393,-0.010015334002673626,2.3285515308380127,-0.0008797876071184874,0.05373670160770416,-0.0561116486787796,0.9969769716262817,0.19385235011577606,-0.009944497607648373,-7.786541391396895e-05,-0.14676393568515778,0.0,"(0.0, 0.0)",True,False,1.5,1.5,1.0,0.12999999523162842,0.12999999523162842,0.10000000149011612
1642435580.1165712,11837,1642435580,112924854,mocap,0.25142398476600647,-0.016831010580062866,2.324068784713745,0.0005691184778697789,0.05397220700979233,-0.0561869814991951,0.9969602227210999,0.19783160090446472,-0.011019634082913399,-5.464846617542207e-05,-0.14701421558856964,0.0,"(0.0, 0.0)",True,False,1.5,1.5,1.0,0.12999999523162842,0.12999999523162842,0.10000000149011612
1642435580.1256359,11838,1642435580,122588552,mocap,0.24819588661193848,-0.051339033991098404,2.3303709030151367,0.007944677025079727,0.053554289042949677,-0.05658473074436188,0.9969287514686584,0.23263144493103027,-0.01193949207663536,0.00011745497613446787,-0.1510973870754242,0.0,"(0.0, 0.0)",True,False,1.5,1.5,1.0,0.12999999523162842,0.12999999523162842,0.10000000149011612
1642435580.134542,11839,1642435580,132267354,mocap,0.2420065551996231,-0.05033772066235542,2.331735134124756,0.007803719025105238,0.05220296233892441,-0.056578751653432846,0.9970019459724426,0.22410625219345093,-0.020896751433610916,0.0002028568706009537,-0.1482378989458084,0.0,"(0.0, 0.0)",True,False,1.5,1.5,1.0,0.12999999523162842,0.12999999523162842,0.10000000149011612
1642435580.1458635,11840,1642435580,142278240,mocap,0.24273553490638733,-0.04226940497756004,2.328265905380249,0.00608867546543479,0.052338846027851105,-0.0564887672662735,0.9970118403434753,0.2071426510810852,-0.02214946411550045,0.00013871378905605525,-0.14776600897312164,0.0,"(0.0, 0.0)",True,False,1.5,1.5,1.0,0.12999999523162842,0.12999999523162842,0.10000000149011612
1642435580.1564927,11841,1642435580,153493708,mocap,0.2457418590784073,-0.03343142196536064,2.3296430110931396,0.0041680000722408295,0.05283951014280319,-0.05638597160577774,0.9970011115074158,0.1909012645483017,-0.022386571392416954,5.2954943384975195e-05,-0.14819057285785675,0.0,"(0.0, 0.0)",True,False,1.5,1.5,1.0,0.12999999523162842,0.12999999523162842,0.10000000149011612
1642435580.1661506,11842,1642435580,162814594,mocap,0.24619805812835693,-0.03507687523961067,2.315178155899048,0.004540434572845697,0.053283609449863434,-0.05640362948179245,0.9969748854637146,0.18684202432632446,-0.021196719259023666,6.486456550192088e-05,-0.14877648651599884,0.0,"(0.0, 0.0)",True,False,1.5,1.5,1.0,0.12999999523162842,0.12999999523162842,0.10000000149011612
1642435580.181615,11843,1642435580,173689542,mocap,0.23794785141944885,-0.03441019728779793,2.3484487533569336,0.004435638431459665,0.05079449713230133,-0.05640898272395134,0.9971049427986145,0.17916399240493774,-0.03551250323653221,0.00011120186536572874,-0.14999547600746155,0.0,"(0.0, 0.0)",True,False,1.5,1.5,1.0,0.12999999523162842,0.12999999523162842,0.10000000149011612
