Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,rpm_0,rpm_1,rpm_2,rpm_3,aux.current_yaw,aux.kf_correction,aux.angle_corrections,aux.enable_motors,aux.use_external_yaw
1642435551.754659,10954,1642435551,596217625,,9192.0,8364.0,8640.0,9428.0,0.0,0.0,"(0.0, 0.0)",False,False
1642435551.7546983,10955,1642435551,606275855,,9240.0,8372.0,8644.0,9428.0,0.0,0.0,"(0.0, 0.0)",False,False
1642435551.7547448,10956,1642435551,616198719,,9264.0,8404.0,8600.0,9380.0,0.0,0.0,"(0.0, 0.0)",False,False
1642435551.7547677,10957,1642435551,626169188,,9264.0,8400.0,8612.0,9356.0,0.0,0.0,"(0.0, 0.0)",False,False
1642435551.7547755,10958,1642435551,636225698,,9244.0,8416.0,8604.0,9396.0,0.0,0.0,"(0.0, 0.0)",False,False
1642435551.754788,10959,1642435551,646203823,,9228.0,8412.0,8612.0,9380.0,0.0,0.0,"(0.0, 0.0)",False,False
1642435551.7565258,10960,1642435551,656198563,,9216.0,8368.0,8608.0,9364.0,0.0,0.0,"(0.0, 0.0)",False,False
1642435551.7565424,10961,1642435551,666226375,,9196.0,8340.0,8636.0,9336.0,0.0,0.0,"(0.0, 0.0)",False,False
1642435551.7565618,10962,1642435551,676213407,,9168.0,8384.0,8632.0,9320.0,0.0,0.0,"(0.0, 0.0)",False,False
1642435551.7565877,10963,1642435551,686246375,,9192.0,8404.0,8648.0,9340.0,0.0,0.0,"(0.0, 0.0)",False,False
1642435551.756695,10964,1642435551,696211011,,9160.0,8400.0,8648.0,9312.0,0.0,0.0,"(0.0, 0.0)",False,False
1642435551.7569077,10965,1642435551,706255646,,9212.0,8424.0,8588.0,9268.0,0.0,0.0,"(0.0, 0.0)",False,False
1642435551.7581844,10966,1642435551,716201896,,9200.0,8368.0,8592.0,9232.0,0.0,0.0,"(0.0, 0.0)",False,False
1642435551.758728,10967,1642435551,726541793,,9252.0,8404.0,8584.0,9256.0,0.0,0.0,"(0.0, 0.0)",False,False
1642435551.759425,10968,1642435551,736170646,,9264.0,8400.0,8568.0,9292.0,0.0,0.0,"(0.0, 0.0)",False,False
1642435551.7594416,10969,1642435551,746277000,,9212.0,8424.0,8588.0,9276.0,0.0,0.0,"(0.0, 0.0)",False,False
1642435551.7603729,10970,1642435551,756200698,,9208.0,8348.0,8596.0,9264.0,0.0,0.0,"(0.0, 0.0)",False,False
1642435551.7890282,10971,1642435551,766295698,,9148.0,8372.0,8612.0,9304.0,0.0,0.0,"(0.0, 0.0)",False,False
1642435551.7948236,10972,1642435551,776197520,,9232.0,8396.0,8576.0,9280.0,0.0,0.0,"(0.0, 0.0)",False,False
1642435551.7948508,10973,1642435551,786219291,,9296.0,8408.0,8552.0,9240.0,0.0,0.0,"(0.0, 0.0)",False,False
1642435551.8005438,10974,1642435551,796209031,,9316.0,8492.0,8480.0,9244.0,0.0,0.0,"(0.0, 0.0)",False,False
1642435551.8085496,10975,1642435551,806206270,,9320.0,8460.0,8532.0,9260.0,0.0,0.0,"(0.0, 0.0)",False,False
1642435551.8185594,10976,1642435551,816233144,,9284.0,8460.0,8560.0,9240.0,0.0,0.0,"(0.0, 0.0)",False,False
